Generation: 89
1, 12, -185, {'epochs': 203, 'units1': 240, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
5, 88, 1834, {'epochs': 30, 'units1': 132, 'act1': 'tanh', 'units2': 70, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 135, {'epochs': 59, 'units1': 208, 'act1': 'tanh', 'units2': 85, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
2, 208, 603, {'epochs': 107, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 20, -196, {'epochs': 205, 'units1': 245, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 59, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 207, 'units1': 42, 'act1': 'tanh', 'units2': 30, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 235, 'units1': 16, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -220, {'epochs': 101, 'units1': 23, 'act1': 'linear', 'units2': 40, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -545, {'epochs': 219, 'units1': 128, 'act1': 'linear', 'units2': 213, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -198, {'epochs': 59, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 205, 'units1': 37, 'act1': 'tanh', 'units2': 28, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -561, {'epochs': 235, 'units1': 16, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 235, 'units1': 16, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 206, 'units1': 244, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 21, -197, {'epochs': 27, 'units1': 128, 'act1': 'linear', 'units2': 69, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
8, 119, 3425, {'epochs': 285, 'units1': 63, 'act1': 'linear', 'units2': 334, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 11, -211, {'epochs': 207, 'units1': 42, 'act1': 'linear', 'units2': 30, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 238, 'units1': 23, 'act1': 'tanh', 'units2': 242, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -484, {'epochs': 107, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 59, 'units1': 208, 'act1': 'tanh', 'units2': 85, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -203, {'epochs': 318, 'units1': 201, 'act1': 'tanh', 'units2': 272, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -186, {'epochs': 222, 'units1': 132, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 27, 'units1': 128, 'act1': 'linear', 'units2': 69, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 223, 'units1': 138, 'act1': 'linear', 'units2': 222, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 17, -173, {'epochs': 235, 'units1': 16, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 206, 'units1': 244, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 27, 'units1': 128, 'act1': 'linear', 'units2': 69, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -193, {'epochs': 203, 'units1': 32, 'act1': 'tanh', 'units2': 21, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
