Generation: 62
1, 200, -532, {'epochs': 226, 'units1': 19, 'act1': 'linear', 'units2': 12, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 242, 'units1': 19, 'act1': 'linear', 'units2': 12, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 251, 'units1': 205, 'act1': 'tanh', 'units2': 281, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 131, 'units1': 75, 'act1': 'tanh', 'units2': 255, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -200, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 90, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -203, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 195, 'units1': 251, 'act1': 'tanh', 'units2': 191, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -189, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 136, 'units1': 145, 'act1': 'linear', 'units2': 272, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -193, {'epochs': 195, 'units1': 255, 'act1': 'tanh', 'units2': 177, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 32, -200, {'epochs': 160, 'units1': 130, 'act1': 'linear', 'units2': 214, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -295, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 252, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 131, 'units1': 75, 'act1': 'tanh', 'units2': 191, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
4, 256, 1808, {'epochs': 194, 'units1': 243, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 128, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 194, 'units1': 243, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 119, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 130, 'units1': 67, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 10, 301, {'epochs': 194, 'units1': 243, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 26, 325, {'epochs': 210, 'units1': 137, 'act1': 'linear', 'units2': 220, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
