Generation: 88
1, 9, -212, {'epochs': 192, 'units1': 34, 'act1': 'linear', 'units2': 22, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 203, 'units1': 240, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -193, {'epochs': 30, 'units1': 132, 'act1': 'tanh', 'units2': 70, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
2, 205, 626, {'epochs': 239, 'units1': 26, 'act1': 'tanh', 'units2': 254, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 27, 'units1': 48, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 107, 'units1': 16, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 24, -207, {'epochs': 110, 'units1': 23, 'act1': 'tanh', 'units2': 34, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 119, {'epochs': 110, 'units1': 23, 'act1': 'tanh', 'units2': 34, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 213, 'units1': 135, 'act1': 'tanh', 'units2': 216, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -501, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 109, {'epochs': 203, 'units1': 32, 'act1': 'linear', 'units2': 21, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
6, 79, 2371, {'epochs': 203, 'units1': 240, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 101, {'epochs': 219, 'units1': 128, 'act1': 'tanh', 'units2': 213, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 109, {'epochs': 208, 'units1': 130, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 86, {'epochs': 235, 'units1': 16, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -201, {'epochs': 62, 'units1': 212, 'act1': 'linear', 'units2': 86, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 203, 'units1': 240, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
