Generation: 58
6, 109, 2415, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 38, -184, {'epochs': 272, 'units1': 328, 'act1': 'linear', 'units2': 244, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 141, 'units1': 76, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 130, 'units1': 163, 'act1': 'linear', 'units2': 140, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -469, {'epochs': 128, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 107, {'epochs': 295, 'units1': 247, 'act1': 'tanh', 'units2': 232, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 148, 'units1': 77, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 205, 'units1': 252, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 202, 'units1': 252, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 109, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 21, -207, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -198, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 144, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -197, {'epochs': 146, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 146, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -209, {'epochs': 138, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -191, {'epochs': 146, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 11, 310, {'epochs': 146, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -532, {'epochs': 128, 'units1': 66, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 138, 'units1': 76, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 234, 'units1': 76, 'act1': 'linear', 'units2': 55, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 134, 'units1': 67, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 25, -204, {'epochs': 202, 'units1': 156, 'act1': 'tanh', 'units2': 215, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 9, 308, {'epochs': 228, 'units1': 77, 'act1': 'tanh', 'units2': 56, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -561, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
